Entity,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dominica,19950,19950,19950,19950,19950,19950,19950,19950,19950,19950,19954,19962,19973,19989,20009,20032,20060,20091,20127,20166,20210,20257,20309,20365,20425,20489,20557,20629,20706,20786,20871,20956,21042,21128,21218,21312,21410,21512,21618,21729,21843,21962,22086,22213,22346,22482,22623,22769,22920,23075,23235,23400,23570,23746,23926,24108,24292,24477,24664,24853,25043,25230,25413,25592,25768,25940,26108,26272,26432,26589,26741,26879,27046,27163,27264,27350,27475,27528,27564,27582,27639,27633,27613,27622,27569,27523,27442,27397,27378,27386,27422,27485,27575,27693,27839,28013,28237,28488,28764,29066,29396,29683,30075,30501,30962,31459,31945,32458,32979,33457,33955,34328,34620,34915,35212,35512,35814,36118,36424,36734,37070,37434,37826,38222,38622,39026,39434,39847,40264,40685,41111,41541,41976,42415,42859,43308,43761,44219,44682,45150,45622,46100,46582,47070,47562,48145,48820,49590,50373,51000,52000,52000,53000,54000,55000,56000,57000,58000,59000,60000,61000,62000,63000,64000,65000,66000,68000,69000,70000,71000,72000,72000,72000,72000,72000,73000,73000,74000,75000,75000,75000,75000,74000,74000,73000,73000,72000,71000,71000,70000,70000,71000,71000,71000,71000,71000,71000,70000,70000,70000,70000,70000,70000,70000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,72000,72000
Dominican Republic,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89071,89213,89428,89717,90081,90522,91041,91639,92318,93078,93921,94849,95863,96964,98154,99435,100807,102272,103833,105490,107244,109029,110842,112686,114561,116467,118404,120374,122377,124412,126544,128776,131109,133549,136099,138761,141540,144439,147463,150616,153961,157446,161075,164852,168784,172873,177127,181549,186146,190922,195883,200971,206191,211545,217037,222670,228449,234376,240456,246693,253090,259652,265828,272717,279784,287033,293913,301524,309331,317340,325009,333424,342056,350395,359467,368774,377843,387626,397661,407957,418519,429354,440470,451874,463572,475747,488467,501710,515450,529756,544695,559056,575296,592174,609769,627944,645315,664586,684281,704605,725285,746732,767171,786600,805018,823793,842923,861970,881809,906437,936195,971085,1007000,1043942,1081910,1120903,1161266,1202654,1245410,1289193,1334344,1380521,1427724,1475269,1519394,1560440,1598750,1637744,1677422,1718126,1760198,1803297,1847421,1892572,1938749,1985952,2034523,2084121,2220297,2365000,2439000,2518000,2601000,2689000,2781000,2877000,2976000,3079000,3185000,3294000,3406000,3521000,3638000,3757000,3878000,4000000,4123000,4248000,4373000,4500000,4627000,4755000,4884000,5014000,5145000,5276000,5407000,5540000,5672000,5804000,5936000,6068000,6200000,6332000,6464000,6597000,6730000,6863000,6998000,7133000,7270000,7408000,7546000,7684000,7819000,7953000,8084000,8214000,8343000,8471000,8599000,8725000,8850000,8974000,9097000,9219000,9339000,9458000,9577000,9695000,9813000,9931000,10048000,10165000,10282000,10398000,10513000,10627000,10739000
Ecuador,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500392,501182,502377,503984,506010,508460,511343,514665,518434,522656,527340,532494,538123,544238,550845,557953,565570,573704,582363,591558,601295,611193,621254,631480,641875,652441,663181,674097,685193,696472,707720,718933,730108,741243,752335,763380,774375,785317,796202,807027,818334,829588,840785,851921,862991,873992,884920,895768,906535,917213,927798,938504,949331,960282,971357,982557,993886,1005343,1016930,1028649,1040501,1052488,1064205,1076461,1088856,1101392,1113684,1126500,1139462,1152572,1165471,1178880,1192442,1205833,1219704,1233735,1247636,1261986,1276501,1291183,1306033,1321053,1336245,1351611,1367154,1383326,1400209,1417790,1436058,1455092,1474879,1493802,1515345,1537736,1561074,1584786,1608159,1632461,1657209,1682403,1707836,1733925,1756572,1775772,1791517,1807628,1823759,1838341,1853661,1869329,1885344,1901012,1916680,1932347,1948363,1964379,1980743,1997107,2013819,2042718,2085194,2137768,2188253,2239086,2292704,2347715,2403074,2459826,2518319,2583079,2639830,2700760,2760297,2832021,2905833,2983823,3065991,3153382,3310531,3470000,3561000,3655000,3752000,3852000,3957000,4065000,4178000,4296000,4418000,4544000,4674000,4809000,4949000,5094000,5244000,5399000,5560000,5725000,5895000,6069000,6247000,6429000,6615000,6803000,6994000,7188000,7384000,7582000,7784000,7989000,8198000,8409000,8625000,8843000,9066000,9292000,9522000,9756000,9992000,10231000,10472000,10716000,10961000,11208000,11455000,11703000,11951000,12198000,12442000,12681000,12915000,13143000,13370000,13596000,13826000,14059000,14297000,14536000,14774000,15011000,15244000,15474000,15707000,15952000,16212000,16491000,16785000,17084000,17374000
Egypt,4241025,4238537,4236051,4233565,4231082,4228599,4226119,4223639,4221161,4218711,4218438,4220390,4224589,4231057,4239817,4250891,4264302,4280073,4298227,4318788,4341780,4367227,4395154,4425584,4458542,4494055,4532146,4572843,4616169,4662153,4710820,4759995,4809683,4859890,4910621,4961882,5013678,5066014,5118897,5172331,5226324,5280880,5336006,5391707,5447989,5504860,5562323,5620387,5679056,5738339,5794738,5851690,5909199,5967271,6025912,6085126,6144921,6205300,6266271,6327838,6390772,6455095,6520829,6587997,6656623,6726729,6798340,6871480,6946173,7022444,7100318,7179822,7253858,7336855,7421643,7508253,7591552,7682550,7775572,7869718,7961604,8057996,8155552,8251206,8351094,8452189,8551768,8655285,8760052,8866084,8973395,9082002,9191920,9303165,9415753,9529699,9645021,9761734,9879856,9999403,10120393,10240112,10364006,10489396,10616298,10744731,10870655,11002157,11135245,11269938,11405040,11542988,11693681,11857432,12034559,12214327,12396775,12592508,12788649,12987845,13190144,13395594,13604243,13816143,14031343,14249895,14471852,14697265,14926190,15158680,15394792,15634581,15878105,16125423,16376592,16631674,16890728,17153820,17421008,17692356,17967932,18247800,18532028,18820684,19113836,19411552,19713906,20020970,20332816,20452000,20949000,21474000,22028000,22612000,23223000,23862000,24525000,25209000,25913000,26633000,27366000,28112000,28871000,29645000,30433000,31238000,32057000,32882000,33703000,34514000,35312000,36103000,36897000,37708000,38549000,39423000,40330000,41276000,42267000,43309000,44400000,45539000,46728000,47969000,49259000,50602000,51992000,53399000,54789000,56134000,57425000,58667000,59881000,61096000,62334000,63602000,64892000,66200000,67516000,68832000,70153000,71485000,72826000,74172000,75524000,76874000,78232000,79636000,81135000,82761000,84529000,86422000,88405000,90425000,92443000,94447000,96443000,98424000,100388000
El Salvador,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248154,248465,248933,249562,250354,251310,252432,253724,255187,256823,258634,260623,262793,265145,267682,270406,273321,276427,279728,283227,286925,290672,294467,298312,302208,306154,310152,314202,318305,322461,326704,331035,335455,339967,344572,349272,354068,358962,363956,369053,374261,379575,384997,390529,396173,401931,407805,413797,419910,426145,432504,438956,445505,452150,458894,465737,472681,479729,486880,494137,501502,508975,516188,523878,531682,539602,547282,555431,563700,572093,580273,588912,597680,606270,615297,624457,633478,642909,652481,662195,672054,682059,692214,702519,712978,724013,735701,748029,761075,774733,789082,802616,818682,835633,853450,871712,889285,908328,927772,947617,967597,988312,1009695,1031413,1053466,1076187,1099243,1122936,1146970,1171634,1196770,1222226,1248222,1274772,1301886,1329577,1357857,1386739,1416235,1446358,1477122,1508540,1540627,1573396,1606862,1641040,1675944,1711592,1747997,1785177,1823147,1861926,1901529,1941974,1983280,2025464,2068546,2112543,2157477,2200000,2238000,2280000,2327000,2378000,2433000,2491000,2554000,2620000,2691000,2766000,2847000,2931000,3019000,3110000,3201000,3294000,3387000,3482000,3577000,3673000,3770000,3867000,3964000,4060000,4155000,4248000,4338000,4427000,4511000,4591000,4666000,4737000,4805000,4871000,4937000,5002000,5068000,5133000,5201000,5270000,5342000,5416000,5490000,5562000,5629000,5690000,5746000,5798000,5845000,5888000,5927000,5962000,5994000,6024000,6052000,6079000,6106000,6132000,6158000,6184000,6211000,6238000,6266000,6295000,6325000,6356000,6388000,6421000,6454000
Equatorial Guinea,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80390,80415,80453,80505,80569,80646,80736,80838,80954,81084,81226,81381,81550,81732,81927,82136,82358,82594,82843,83105,83381,83658,83936,84215,84495,84776,85058,85340,85624,85909,86194,86481,86768,87056,87346,87636,87927,88219,88512,88807,89108,89410,89714,90018,90324,90630,90938,91246,91556,91867,92179,92491,92805,93120,93436,93753,94071,94391,94711,95032,95355,95679,96000,96326,96652,96980,97306,97636,97968,98300,98631,98966,99302,99636,99974,100313,100652,100993,101336,101680,102025,102371,102718,103067,103417,103768,104120,104473,104828,105183,105540,105896,106256,106616,106978,107341,107703,108068,108435,108803,109171,109542,109913,110286,110661,111036,111413,111781,112152,113670,116376,120316,124389,128600,132953,137454,142107,146917,151890,157032,162348,166083,168180,168578,168978,169378,169780,170182,170585,170989,171395,173681,177920,184184,190669,197382,204331,211525,218973,226000,231000,234000,236000,238000,240000,242000,245000,248000,252000,255000,259000,262000,266000,271000,276000,284000,292000,299000,304000,304000,299000,290000,278000,266000,256000,248000,242000,240000,242000,250000,264000,285000,308000,332000,352000,369000,383000,395000,407000,419000,433000,447000,463000,479000,497000,516000,536000,558000,582000,606000,632000,658000,687000,717000,750000,784000,822000,861000,902000,944000,987000,1031000,1076000,1122000,1169000,1215000,1262000,1309000,1356000
Eritrea,205010,205010,205010,205010,205010,205010,205010,205010,205010,205010,205140,205401,205796,206325,206992,207797,208742,209830,211062,212440,213967,215643,217472,219455,221593,223890,226348,228967,231752,234703,237823,240985,244189,247435,250724,254058,257435,260857,264325,267839,271400,275008,278664,282369,286123,289926,293781,297686,301644,305654,309713,313825,317992,322214,326493,330828,335221,339672,344182,348752,353383,358075,362830,367647,372529,377476,382488,387566,392713,397927,403211,408565,413749,419243,424810,430451,435938,441727,447592,453535,459344,465443,471623,477691,484034,490461,496800,503397,510081,516854,523716,530670,537717,544857,552091,559422,566850,574377,582003,589731,597562,605320,613358,621502,629755,638116,646326,654908,663604,672416,681265,690311,699477,708765,718176,727712,737374,747181,757114,767180,777379,787713,798185,808797,819549,830444,841484,852671,864007,875493,887132,898926,910877,922986,935256,947690,960289,973055,985991,999099,1012381,1025840,1039478,1053297,1067300,1081489,1095866,1110435,1125197,822000,835000,849000,865000,882000,900000,919000,939000,961000,983000,1008000,1033000,1060000,1089000,1118000,1148000,1179000,1210000,1243000,1276000,1311000,1347000,1385000,1424000,1464000,1505000,1548000,1592000,1637000,1684000,1733000,1785000,1837000,1891000,1946000,2004000,2065000,2127000,2186000,2231000,2259000,2266000,2258000,2239000,2218000,2204000,2196000,2195000,2206000,2237000,2292000,2375000,2481000,2601000,2720000,2827000,2918000,2997000,3063000,3120000,3170000,3214000,3250000,3281000,3311000,3343000,3377000,3413000,3453000,3497000
Estonia,334136,334136,334136,334136,334136,334136,334136,334136,334136,334136,334283,334577,335021,335616,336362,337263,338318,339529,340899,342427,344116,345968,347983,350163,352510,355025,357710,360566,363596,366799,370179,373590,377033,380507,384013,387552,391123,394727,398365,402035,405740,409479,413252,417060,420903,424782,428696,432646,436633,440656,444711,448803,452933,457100,461306,465551,469835,474158,478521,482924,487368,491852,496378,500945,505555,510207,514901,519639,524421,529246,534116,539031,543838,548842,553892,558989,563990,569180,574417,579702,584905,590287,595719,601082,606613,612195,617724,623408,629145,634934,640776,646672,652622,658627,664688,670804,676976,683206,689492,695836,702239,708601,715122,721702,728343,735044,741662,748487,755374,762324,769296,776374,783518,790728,798004,805347,812757,820250,827808,835436,843134,850904,858744,866658,874643,882703,890837,899046,907330,915691,924129,932644,941238,949911,958665,967498,976414,985411,994491,1003655,1012904,1022237,1031657,1041163,1050757,1060440,1070211,1080073,1090025,1101000,1113000,1125000,1137000,1148000,1159000,1170000,1181000,1192000,1204000,1217000,1231000,1245000,1260000,1275000,1290000,1305000,1319000,1333000,1347000,1360000,1373000,1386000,1398000,1410000,1422000,1433000,1444000,1454000,1464000,1474000,1484000,1493000,1501000,1511000,1522000,1536000,1551000,1564000,1570000,1565000,1548000,1521000,1488000,1457000,1433000,1418000,1410000,1406000,1404000,1399000,1392000,1383000,1373000,1364000,1356000,1349000,1344000,1340000,1336000,1332000,1328000,1323000,1319000,1316000,1315000,1317000,1319000,1323000,1326000
Eswatini,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86030,86059,86089,86118,86148,86178,86207,86237,86266,86296,86326,86355,86385,86414,86444,86473,86503,86533,86562,86592,86621,86651,86681,86710,86740,86769,86799,86829,86858,86888,86917,86947,86977,87006,87036,87065,87095,87124,87154,87184,87213,87243,87272,87302,87332,87361,87391,87420,87450,87753,88340,88555,89625,91067,92894,95119,97173,100553,104051,106984,110187,111728,112169,112612,113056,113503,113951,114350,114762,115177,116308,118173,120793,123470,126207,129005,131864,134787,137775,140829,143950,147141,150402,153736,157144,160414,163539,166513,169541,172623,175762,178958,182212,185525,188899,197434,211723,232417,255135,273000,279000,285000,291000,297000,303000,309000,316000,323000,330000,337000,343000,350000,357000,365000,374000,384000,395000,407000,419000,431000,444000,457000,471000,485000,500000,516000,532000,550000,568000,588000,608000,630000,652000,675000,699000,724000,749000,774000,798000,822000,845000,867000,888000,908000,927000,946000,963000,980000,994000,1005000,1014000,1019000,1023000,1026000,1031000,1036000,1043000,1050000,1057000,1065000,1072000,1079000,1087000,1095000,1104000,1114000,1125000,1136000,1148000
Ethiopia,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2950984,2955000,2961066,2969213,2979469,2991864,3006429,3023195,3042192,3063453,3087009,3112894,3141140,3171781,3204850,3240383,3278414,3318979,3362114,3407854,3456238,3505309,3555076,3605550,3656741,3708658,3761313,3814715,3868876,3923805,3979514,4036014,4093316,4151432,4210373,4270151,4330778,4392265,4454625,4517871,4580756,4644517,4709165,4774712,4841171,4908555,4976877,5046149,5116384,5187597,5259801,5333010,5407237,5482496,5558803,5636171,5714616,5794152,5874795,5956559,6039461,6123516,6204635,6290988,6378543,6467315,6553418,6644624,6737098,6830859,6922257,7018594,7116270,7211963,7312329,7414092,7514285,7618857,7724884,7832385,7941383,8051896,8163947,8277556,8392746,8509538,8627954,8748018,8869752,8993179,9118323,9242147,9370754,9501150,9633360,9767408,9898731,10036470,10176126,10317724,10459906,10605451,10753020,10902642,11054345,11208158,11364110,11526529,11690180,11856154,12024485,12195205,12368350,12543952,12722048,12902673,13085861,13271651,13460079,13651181,13844997,14041565,14240923,14443112,14648172,14856143,15067067,15280985,15497940,15717976,15941136,16167464,16397006,16629806,16865912,17105370,17348228,17594532,17844336,18128000,18467000,18820000,19184000,19560000,19947000,20348000,20764000,21201000,21662000,22151000,22671000,23221000,23798000,24397000,25014000,25641000,26280000,26944000,27653000,28415000,29249000,30141000,31037000,31861000,32567000,33128000,33577000,33993000,34488000,35142000,35985000,36995000,38143000,39374000,40652000,41966000,43329000,44757000,46272000,47888000,49610000,51424000,53296000,55181000,57048000,58884000,60697000,62508000,64343000,66225000,68159000,70142000,72171000,74240000,76346000,78489000,80674000,82916000,85234000,87640000,90140000,92727000,95386000,98094000,100835000,103603000,106400000,109224000,112079000
Fiji,130746,130959,131172,131386,131600,131815,132029,132244,132460,132682,132899,133115,133332,133549,133767,133985,134203,134422,134641,134860,135080,135300,135521,135742,135963,136184,136406,136629,136851,137074,137298,137521,137746,137939,138101,138231,138331,138401,138439,138446,138427,138381,138309,138210,138085,137934,137756,137551,137321,137063,136781,136472,136136,135775,135418,135067,134721,134380,134044,133713,133387,133062,132738,132414,132092,131770,131449,131129,130809,130490,130172,129841,129520,129173,128811,128433,128099,127699,127282,126849,126471,126004,125518,125071,124538,124021,123447,122938,122474,122055,121681,121351,121066,120825,120628,120484,120563,120825,121271,121905,122730,123244,124512,126020,127771,129757,131700,133747,135825,137824,139870,141667,143301,144953,146625,148316,150026,151755,153504,155274,157276,159518,162004,164529,167094,169699,172344,175031,177759,180530,183344,186202,189105,192053,195047,198881,203592,209214,214992,220929,227030,233300,239742,246363,253167,260086,267122,274276,281622,289000,296000,305000,314000,325000,335000,346000,357000,368000,381000,393000,407000,422000,436000,451000,464000,476000,488000,499000,510000,521000,532000,543000,554000,565000,577000,588000,598000,609000,622000,635000,651000,668000,685000,700000,712000,719000,722000,723000,725000,729000,735000,744000,755000,766000,775000,784000,793000,800000,806000,811000,814000,815000,816000,818000,822000,828000,836000,845000,854000,860000,863000,865000,866000,866000,869000,872000,877000,883000,890000
Finland,986439,995294,1004229,1013244,1022340,1031517,1040777,1050120,1059547,1070625,1080546,1090811,1101463,1112452,1123822,1135520,1148781,1162363,1176310,1190807,1205328,1219583,1233614,1247371,1260849,1274234,1287617,1301042,1314457,1327905,1341571,1355381,1369333,1383476,1397810,1412238,1426762,1440143,1453667,1467238,1480476,1493714,1507286,1521095,1535190,1549524,1564000,1578571,1593143,1607810,1622720,1637869,1653018,1668167,1683269,1697751,1710901,1720574,1727390,1734253,1741784,1750219,1759512,1769518,1780287,1791961,1804587,1817928,1832174,1847467,1863380,1879769,1889842,1906534,1923964,1942657,1959015,1987849,2017565,2047576,2076167,2106711,2137723,2167729,2199356,2232984,2264486,2294680,2329330,2358342,2387446,2417005,2447018,2476850,2505500,2533059,2559618,2582813,2610555,2633387,2661129,2689730,2715522,2741870,2769997,2799124,2826785,2860202,2895020,2930438,2963656,2996341,3026692,3055043,3081060,3104743,3118758,3122755,3125756,3140760,3171767,3208443,3242451,3273792,3305799,3337807,3368481,3396821,3423828,3450501,3476841,3502514,3526853,3551192,3576198,3601871,3628544,3656884,3680890,3696227,3703562,3711231,3722233,3738904,3767244,3808588,3859933,3912279,3962293,4008000,4050000,4097000,4144000,4192000,4238000,4282000,4324000,4363000,4400000,4435000,4468000,4499000,4527000,4550000,4569000,4581000,4589000,4594000,4601000,4612000,4629000,4651000,4675000,4699000,4719000,4734000,4747000,4758000,4771000,4788000,4810000,4835000,4862000,4888000,4911000,4930000,4946000,4961000,4977000,4996000,5019000,5045000,5072000,5097000,5119000,5137000,5152000,5164000,5176000,5188000,5200000,5213000,5227000,5242000,5259000,5277000,5298000,5319000,5342000,5366000,5390000,5415000,5439000,5461000,5481000,5498000,5511000,5523000,5532000
France,29447068,29539312,29631844,29724666,29817780,29911184,30004882,30098874,30193160,30293172,30393404,30499974,30612624,30731442,30856458,30985992,31120080,31258752,31402044,31549988,31700048,31853160,32007456,32163920,32322538,32485056,32651510,32821932,32996352,33174810,33356190,33535144,33711000,33884048,34054192,34219856,34382760,34542856,34700096,34854476,35005856,35156808,35306380,35456428,35606000,35751712,35891808,36026240,36154952,36277904,36397736,36516192,36636136,36755612,36875048,36989680,37105320,37219540,37354248,37461340,37528424,37586888,37649072,37712548,37778268,37846184,37919724,37999324,38083024,38170352,38261788,38355896,38432200,38518440,38604528,38692944,38738812,38797148,38883808,39014052,39174316,39306480,39427512,39566808,39662136,39746996,39853876,39916880,39971424,40015500,40058668,40104664,40159220,40217604,40273076,40331468,40399332,40472940,40551288,40628636,40706904,40789608,40843224,40900292,40958592,41025020,41066652,41135004,41209572,41294568,41383848,41465112,41523004,41231120,40705028,39975432,39328984,38932952,38836732,39069936,39310488,39604500,39961988,40359568,40690332,40900816,41047820,41168096,41391944,41662568,41873056,41966604,41996672,42023400,42030080,42023400,42030080,42026740,41716024,40927544,40092288,39424084,39190212,39290440,39721432,40316136,40787220,41184804,41569624,41834000,42031000,42316000,42655000,43025000,43411000,43809000,44221000,44659000,45138000,45673000,46267000,46907000,47561000,48184000,48747000,49233000,49651000,50025000,50387000,50764000,51163000,51573000,51980000,52357000,52689000,52969000,53209000,53423000,53637000,53868000,54121000,54391000,54675000,54965000,55255000,55545000,55838000,56126000,56404000,56667000,56914000,57147000,57370000,57587000,57802000,58012000,58221000,58444000,58704000,59015000,59384000,59803000,60252000,60698000,61120000,61509000,61869000,62209000,62543000,62880000,63222000,63564000,63894000,64194000,64453000,64668000,64843000,64991000,65130000
Gabon,158227,158227,158227,158227,158227,158227,158227,158227,158227,158227,158290,158417,158609,158865,159186,159574,160028,160549,161137,161794,162520,163315,164180,165115,166121,167199,168350,169573,170870,172241,173686,175144,176614,178097,179592,181099,182619,184152,185697,187256,188828,190412,192011,193622,195247,196886,198539,200205,201885,203580,205324,207084,208858,210647,212452,214273,216109,217960,219828,221711,223611,225527,227459,229408,231373,233356,235355,237372,239405,241457,243525,245612,247658,249780,251920,254079,256202,258397,260611,262843,265046,267317,269607,271872,274202,276551,278881,281270,283680,286110,288561,291034,293527,296041,298578,301136,303715,306317,308941,311588,314257,316913,319628,322366,325127,327913,330668,333501,336358,339239,342129,345060,348016,350997,354004,357036,360095,363097,366144,369217,372316,375441,378592,381770,384974,388206,391464,394749,398063,401404,404773,408170,411596,415051,418534,422047,425590,429162,432764,436396,440059,443752,447477,451233,455020,458839,462690,466574,470490,473000,476000,479000,481000,482000,484000,487000,489000,493000,497000,501000,506000,511000,518000,525000,533000,543000,554000,566000,578000,589000,601000,612000,623000,635000,648000,661000,676000,692000,709000,726000,745000,764000,784000,805000,827000,850000,874000,898000,924000,949000,976000,1003000,1030000,1057000,1085000,1113000,1141000,1170000,1199000,1228000,1258000,1288000,1320000,1354000,1391000,1430000,1473000,1519000,1569000,1624000,1685000,1750000,1817000,1884000,1948000,2008000,2065000,2119000,2173000
Gambia,103274,103274,103274,103274,103274,103274,103274,103274,103274,103274,103311,103384,103495,103644,103830,104054,104317,104618,104958,105337,105756,106215,106714,107253,107833,108454,109116,109820,110566,111354,112185,113021,113864,114714,115569,116432,117300,118175,119056,119945,120839,121741,122649,123564,124485,125414,126349,127292,128241,129198,130163,131135,132114,133100,134094,135096,136104,137121,138145,139176,140215,141262,142317,143380,144451,145529,146616,147711,148814,149925,151044,152172,153280,154425,155578,156740,157884,159063,160251,161447,162629,163843,165067,166278,167520,168771,170012,171282,172561,173849,175147,176455,177773,179100,180438,181785,183142,184510,185888,187276,188674,190066,191485,192915,194355,195807,197243,198716,200200,201695,203194,204711,206239,207779,209331,210894,212469,214053,215650,217258,218879,220512,222157,223814,225483,227165,228860,230567,232287,234019,235765,237524,239295,241080,242879,244690,246515,248354,250207,252073,253953,255848,257756,259679,261616,263567,265533,267514,269509,305000,309000,314000,318000,324000,330000,336000,343000,350000,358000,365000,372000,380000,388000,396000,405000,415000,427000,439000,451000,464000,478000,492000,507000,523000,540000,558000,577000,597000,617000,637000,658000,678000,700000,726000,756000,791000,831000,873000,916000,956000,993000,1027000,1061000,1094000,1129000,1164000,1201000,1238000,1277000,1318000,1360000,1404000,1450000,1497000,1544000,1591000,1640000,1689000,1740000,1793000,1848000,1905000,1964000,2024000,2086000,2149000,2214000,2280000,2348000
Georgia,1072178,1072178,1072178,1072178,1072178,1072178,1072178,1072178,1072178,1072178,1072648,1073592,1075014,1076919,1079312,1082197,1085577,1089459,1093846,1098744,1104156,1110088,1116544,1123530,1131050,1139108,1147711,1156862,1166568,1176832,1187661,1198590,1209619,1220750,1231983,1243319,1254760,1266306,1277958,1289717,1301585,1313562,1325649,1337847,1350158,1362582,1375120,1387773,1400543,1413431,1426385,1439458,1452651,1465965,1479401,1492960,1506643,1520452,1534387,1548450,1562642,1576964,1591417,1606003,1620722,1635576,1650567,1665695,1680961,1696367,1711915,1727605,1742952,1758926,1775047,1791316,1807279,1823843,1840559,1857428,1874032,1891208,1908541,1925656,1943305,1961116,1978758,1996894,2015196,2033665,2052304,2071114,2090096,2109252,2128584,2148093,2167780,2187648,2207698,2227932,2248352,2268641,2289433,2310416,2331592,2352961,2374062,2395820,2417778,2439938,2462162,2484728,2507501,2530483,2553675,2577080,2600699,2624662,2648813,2673187,2697785,2722609,2747662,2772945,2798461,2824212,2850200,2876427,2902895,2929606,2956564,2983770,3011225,3038934,3066897,3095118,3123599,3152341,3181348,3210622,3240166,3269981,3300070,3330437,3361083,3392010,3423223,3454722,3486512,3527000,3556000,3589000,3626000,3667000,3713000,3764000,3819000,3878000,3941000,4008000,4077000,4149000,4222000,4297000,4372000,4447000,4522000,4593000,4658000,4713000,4758000,4794000,4822000,4848000,4874000,4900000,4927000,4956000,4986000,5018000,5051000,5085000,5122000,5164000,5211000,5267000,5327000,5381000,5412000,5410000,5373000,5304000,5209000,5097000,4976000,4847000,4710000,4575000,4457000,4362000,4297000,4259000,4239000,4226000,4210000,4190000,4167000,4143000,4119000,4099000,4081000,4064000,4049000,4035000,4024000,4015000,4009000,4003000,3997000
Germany,22983824,23081140,23178868,23277008,23375566,23474540,23573934,23673748,23773984,23882460,23995464,24120996,24258514,24407472,24568092,24738968,24918704,25107564,25304388,25507768,25717690,25934798,26159740,26392682,26635940,26889160,27152272,27427212,27715332,28016572,28329428,28640238,28948144,29254096,29560572,29865762,30164190,30451810,30733332,31016144,31302332,31588380,31868714,32141572,32404190,32657762,32909048,33159762,33410620,33663144,33927904,34193032,34462344,34737512,35015016,35287404,35556680,35827336,36108632,36397476,36683216,36965608,37252544,37554072,37871984,38215924,38579928,38956060,39342372,39733400,40120428,40502864,40857160,41232472,41609096,41989636,42368904,42775224,43192452,43628512,44090972,44553528,45021588,45464104,45914696,46365432,46772248,47250164,47754944,48286520,48859120,49468000,50108296,50776904,51469144,52189756,52944860,53733296,54554908,55400944,56263936,57133064,58011692,58891708,59778544,60668248,61550144,62436736,63350672,64213148,65100920,65863880,66651200,67278504,67648792,67558520,67242968,65348956,63687828,62437800,62899396,63381464,63764928,64196844,64648204,65100588,65519196,65897548,66259520,66610920,66944240,67265952,67602344,67996384,68447408,68932544,69508088,70168920,70852616,71427816,71955936,72152448,72023152,70715128,68759232,67472704,67573344,68703624,69482160,69966000,70300000,70620000,70930000,71233000,71537000,71851000,72183000,72548000,72955000,73414000,73928000,74489000,75081000,75677000,76258000,76820000,77357000,77847000,78261000,78578000,78790000,78902000,78932000,78910000,78856000,78782000,78687000,78574000,78438000,78283000,78108000,77926000,77770000,77682000,77692000,77806000,78016000,78308000,78660000,79054000,79491000,79963000,80429000,80833000,81139000,81324000,81399000,81403000,81390000,81401000,81454000,81535000,81614000,81646000,81603000,81472000,81278000,81066000,80900000,80827000,80856000,80973000,81174000,81450000,81787000,82194000,82658000,83124000,83517000
